0.000000 0.000145284 3.96058e-10 -8.59518e-05 9.037e-10 5.84757e-05 -9.0115e-10
0.034428 0.154605 0.00045916 -0.0921333 0.000946088 0.0622525 -0.00095461
0.068855 0.32703 0.0020367 -0.195933 0.00396029 0.131522 -0.00401883
0.103283 0.516425 0.00490705 -0.310476 0.00935439 0.207114 -0.0094883
0.137711 0.721224 0.00903866 -0.434273 0.0174979 0.287984 -0.0176342
0.172138 0.939326 0.0141609 -0.565401 0.028813 0.372824 -0.0286901
0.206566 1.16816 0.0197471 -0.70158 0.0437619 0.460108 -0.0428389
0.240993 1.40481 0.0250158 -0.840263 0.0628262 0.548145 -0.0602024
0.275421 1.64609 0.0289511 -0.978748 0.0864805 0.635146 -0.0808315
0.309849 1.88868 0.0303405 -1.11429 0.115162 0.719297 -0.104701
0.344276 2.12928 0.0278273 -1.24423 0.149238 0.798829 -0.131705
0.378704 2.36471 0.0199733 -1.36607 0.188977 0.87209 -0.161659
0.413132 2.59198 0.00532821 -1.47759 0.234524 0.937599 -0.194302
0.447559 2.80843 -0.0175018 -1.57691 0.285876 0.994102 -0.229304
0.481987 3.01179 -0.0497888 -1.66251 0.34288 1.0406 -0.266273
0.516415 3.20016 -0.0926266 -1.73331 0.405221 1.07638 -0.304767
0.550842 3.37208 -0.146886 -1.78859 0.472439 1.10102 -0.344306
0.585270 3.52653 -0.213184 -1.82804 0.543933 1.11436 -0.384388
0.619698 3.66284 -0.291868 -1.85171 0.618992 1.11653 -0.424495
0.654125 3.78073 -0.383009 -1.85995 0.696811 1.10787 -0.46411
0.688553 3.88022 -0.48642 -1.85336 0.776528 1.08894 -0.50273
0.722980 3.96158 -0.601668 -1.83274 0.857247 1.06046 -0.539873
0.757408 4.02526 -0.728111 -1.79907 0.938067 1.02328 -0.575087
0.791836 4.07189 -0.864927 -1.75339 1.01811 0.978319 -0.607959
0.826263 4.10218 -1.01115 -1.69682 1.09653 0.926568 -0.638119
0.860691 4.11689 -1.16573 -1.6305 1.17254 0.869023 -0.665243
0.895119 4.1168 -1.32752 -1.55553 1.24545 0.806675 -0.689057
0.929546 4.10269 -1.49537 -1.47301 1.3146 0.740486 -0.709335
0.963974 4.0753 -1.66811 -1.38395 1.37946 0.671367 -0.725905
0.998402 4.03533 -1.84459 -1.28931 1.43955 0.600173 -0.738638
1.032829 3.98343 -2.02371 -1.19 1.49447 0.527685 -0.747454
1.067257 3.92019 -2.2044 -1.08682 1.54392 0.454613 -0.752316
1.101685 3.84615 -2.38569 -0.980515 1.58765 0.381593 -0.753223
1.136112 3.76179 -2.56664 -0.871773 1.62547 0.309189 -0.750213
1.170540 3.66755 -2.74639 -0.761206 1.65726 0.237898 -0.743356
1.204967 3.56382 -2.92417 -0.649375 1.68294 0.16815 -0.732751
1.239395 3.45097 -3.09924 -0.536789 1.70247 0.100319 -0.718522
1.273823 3.32934 -3.27094 -0.423914 1.71585 0.0347253 -0.700814
1.308250 3.19924 -3.43868 -0.311178 1.72311 -0.0283581 -0.679793
1.342678 3.06097 -3.60189 -0.198973 1.7243 -0.0886996 -0.655639
1.377106 2.91482 -3.76007 -0.087664 1.71951 -0.146108 -0.628545
1.411533 2.76108 -3.91276 0.022411 1.70883 -0.200427 -0.598711
1.445961 2.60004 -4.05952 0.130936 1.69238 -0.251532 -0.566343
1.480389 2.43197 -4.19996 0.237613 1.67028 -0.299318 -0.531654
1.514816 2.25717 -4.33371 0.342161 1.64267 -0.343702 -0.494865
1.549244 2.07594 -4.46043 0.444313 1.60972 -0.384619 -0.456201
1.583672 1.88859 -4.57979 0.543817 1.57159 -0.422025 -0.415886
1.618099 1.69541 -4.6915 0.640436 1.52845 -0.455894 -0.37414
1.652527 1.49673 -4.79527 0.733945 1.48049 -0.486218 -0.331182
1.686954 1.29288 -4.89086 0.824133 1.42789 -0.513005 -0.287223
1.721382 1.0842 -4.978 0.910799 1.37086 -0.53627 -0.242478
1.755810 0.871034 -5.05647 0.993752 1.3096 -0.556041 -0.197155
1.790237 0.653735 -5.12606 1.07282 1.24432 -0.572353 -0.151461
1.824665 0.432669 -5.18658 1.14782 1.17525 -0.585252 -0.105597
1.859093 0.208207 -5.23785 1.21861 1.10261 -0.594797 -0.05976
1.893520 -0.0192712 -5.27969 1.28504 1.02663 -0.601054 -0.0141365
1.927948 -0.249381 -5.31197 1.34699 0.947552 -0.604101 0.0310922
1.962376 -0.481729 -5.33454 1.40433 0.865611 -0.604022 0.0757533
1.996803 -0.715917 -5.34731 1.45695 0.781049 -0.600912 0.119683
2.031231 -0.951543 -5.35015 1.50476 0.694113 -0.59487 0.162723
2.065659 -1.1882 -5.34299 1.54767 0.605051 -0.586002 0.204726
2.100086 -1.42547 -5.32577 1.58561 0.514116 -0.574417 0.245544
2.134514 -1.66294 -5.29843 1.61852 0.421563 -0.560226 0.285039
2.168941 -1.90019 -5.26093 1.64635 0.327647 -0.543551 0.32308
2.203369 -2.13681 -5.21327 1.66907 0.232625 -0.524516 0.359546
2.237797 -2.37237 -5.15544 1.68663 0.13675 -0.503254 0.394329
2.272224 -2.60644 -5.08746 1.69905 0.0402768 -0.479903 0.427331
2.306652 -2.83861 -5.00937 1.7063 -0.056543 -0.454601 0.458464
2.341080 -3.06846 -4.92121 1.70841 -0.153457 -0.427487 0.487645
2.375507 -3.29556 -4.82305 1.7054 -0.250212 -0.398702 0.514794
2.409935 -3.51949 -4.71498 1.69729 -0.34656 -0.368384 0.53984
2.444363 -3.73985 -4.59711 1.68412 -0.442252 -0.336679 0.562721
